22,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.01, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.01, 0.01, 0.0], 50: [0.02, 0.04, 0.02, 0.05, 0.0], 60: [0.07, 0.05, 0.07, 0.09, 0.04], 70: [0.09, 0.1, 0.08, 0.09, 0.12000000000000001], 80: [0.12, 0.07, 0.14, 0.14, 0.11], 90: [0.15000000000000002, 0.12, 0.14, 0.16999999999999998, 0.15]}
23,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.01, 0.0, 0.0], 50: [0.02, 0.02, 0.0, 0.0, 0.0], 60: [0.03, 0.0, 0.01, 0.01, 0.0], 70: [0.02, 0.02, 0.01, 0.02, 0.04], 80: [0.05, 0.07, 0.05, 0.03, 0.02], 90: [0.01, 0.09000000000000001, 0.06, 0.05, 0.03]}
24,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.01, 0.0, 0.0, 0.0, 0.01], 60: [0.0, 0.01, 0.01, 0.01, 0.0], 70: [0.0, 0.01, 0.01, 0.01, 0.01], 80: [0.02, 0.02, 0.01, 0.01, 0.01], 90: [0.01, 0.02, 0.01, 0.02, 0.02]}
25,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.02], 50: [0.02, 0.06, 0.04, 0.04, 0.03], 60: [0.06, 0.04, 0.09, 0.12000000000000001, 0.07], 70: [0.12000000000000001, 0.14, 0.18, 0.1, 0.13], 80: [0.22, 0.11, 0.21000000000000002, 0.21000000000000002, 0.21000000000000002], 90: [0.16999999999999998, 0.19, 0.22999999999999998, 0.25, 0.21000000000000002]}
26,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.0, 0.0, 0.0, 0.0, 0.0], 60: [0.0, 0.0, 0.02, 0.0, 0.02], 70: [0.03, 0.04, 0.02, 0.01, 0.02], 80: [0.02, 0.02, 0.04, 0.02, 0.060000000000000005], 90: [0.08, 0.08, 0.06, 0.07, 0.01]}
27,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.0, 0.02, 0.02, 0.07, 0.01], 60: [0.05, 0.04, 0.05, 0.04, 0.05], 70: [0.06, 0.03, 0.05, 0.05, 0.05], 80: [0.1, 0.08, 0.13, 0.08, 0.13], 90: [0.09, 0.1, 0.06, 0.11000000000000001, 0.08]}
28,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.01], 50: [0.01, 0.02, 0.0, 0.02, 0.02], 60: [0.02, 0.03, 0.0, 0.03, 0.01], 70: [0.03, 0.02, 0.02, 0.02, 0.04], 80: [0.02, 0.03, 0.03, 0.02, 0.03], 90: [0.04, 0.05, 0.04, 0.05, 0.02]}
29,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.0, 0.0, 0.01, 0.0, 0.02], 60: [0.0, 0.0, 0.0, 0.0, 0.0], 70: [0.0, 0.01, 0.01, 0.0, 0.0], 80: [0.01, 0.01, 0.02, 0.0, 0.01], 90: [0.02, 0.01, 0.0, 0.02, 0.01]}
30,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.01, 0.0, 0.0], 50: [0.02, 0.02, 0.01, 0.01, 0.02], 60: [0.02, 0.01, 0.02, 0.0, 0.02], 70: [0.04, 0.04, 0.04, 0.06, 0.05], 80: [0.03, 0.02, 0.05, 0.02, 0.04], 90: [0.05, 0.04, 0.05, 0.06, 0.07]}
31,{10: [0.0, 0.0, 0.0, 0.0, 0.0], 20: [0.0, 0.0, 0.0, 0.0, 0.0], 30: [0.0, 0.0, 0.0, 0.0, 0.0], 40: [0.0, 0.0, 0.0, 0.0, 0.0], 50: [0.01, 0.0, 0.0, 0.0, 0.01], 60: [0.01, 0.04, 0.02, 0.04, 0.02], 70: [0.05, 0.03, 0.03, 0.04, 0.03], 80: [0.05, 0.05, 0.05, 0.07, 0.03], 90: [0.08, 0.07, 0.07, 0.08, 0.09]}
